Coin;birthday
bitcoin;2013-05-01
litecoin;2013-05-01
ripple;2013-08-04
dogecoin;2013-12-17
monero;2014-05-21
stellar;2014-08-06
tether;2015-03-02
ethereum;2015-08-07
ethereum-classic;2016-07-24
bitcoin-cash;2017-08-02
binancecoin;2017-09-16
cardano;2017-10-18
tron;2017-11-09
chainlink;2017-11-09
maker;2017-12-20
true-usd;2018-03-23
usd-coin;2018-10-05
wrapped-bitcoin;2019-02-01
matic-network;2019-04-27
solana;2020-04-11
polkadot;2020-08-19
avalanche-2;2020-09-22
staked-ether;2020-12-22
