Dates ,5/1/2013,5/16/2013,6/1/2013,6/16/2013,7/1/2013,7/16/2013,8/1/2013,8/16/2013,9/1/2013,9/16/2013,10/1/2013,10/16/2013,11/1/2013,11/16/2013,12/1/2013,12/16/2013,1/1/2014,1/16/2014,2/1/2014,2/16/2014,3/1/2014,3/16/2014,4/1/2014,4/16/2014,5/1/2014,5/16/2014,6/1/2014,6/16/2014,7/1/2014,7/16/2014,8/1/2014,8/16/2014,9/1/2014,9/16/2014,10/1/2014,10/16/2014,11/1/2014,11/16/2014,12/1/2014,12/16/2014,1/1/2015,1/16/2015,2/1/2015,2/16/2015,3/1/2015,3/16/2015,4/1/2015,4/16/2015,5/1/2015,5/16/2015,6/1/2015,6/16/2015,7/1/2015,7/16/2015,8/1/2015,8/16/2015,9/1/2015,9/16/2015,10/1/2015,10/16/2015,11/1/2015,11/16/2015,12/1/2015,12/16/2015,1/1/2016,1/16/2016,2/1/2016,2/16/2016,3/1/2016,3/16/2016,4/1/2016,4/16/2016,5/1/2016,5/16/2016,6/1/2016,6/16/2016,7/1/2016,7/16/2016,8/1/2016,8/16/2016,9/1/2016,9/16/2016,10/1/2016,10/16/2016,11/1/2016,11/16/2016,12/1/2016,12/16/2016,1/1/2017,1/16/2017,2/1/2017,2/16/2017,3/1/2017,3/16/2017,4/1/2017,4/16/2017,5/1/2017,5/16/2017,6/1/2017,6/16/2017,7/1/2017,7/16/2017,8/1/2017,8/16/2017,9/1/2017,9/16/2017,10/1/2017,10/16/2017,11/1/2017,11/16/2017,12/1/2017,12/16/2017,1/1/2018,1/16/2018,2/1/2018,2/16/2018,3/1/2018,3/16/2018,4/1/2018,4/16/2018,5/1/2018,5/16/2018,6/1/2018,6/16/2018,7/1/2018,7/16/2018,8/1/2018,8/16/2018,9/1/2018,9/16/2018,10/1/2018,10/16/2018,11/1/2018,11/16/2018,12/1/2018,12/16/2018,1/1/2019,1/16/2019,2/1/2019,2/16/2019,3/1/2019,3/16/2019,4/1/2019,4/16/2019,5/1/2019,5/16/2019,6/1/2019,6/16/2019,7/1/2019,7/16/2019,8/1/2019,8/16/2019,9/1/2019,9/16/2019,10/1/2019,10/16/2019,11/1/2019,11/16/2019,12/1/2019,12/16/2019,1/1/2020,1/16/2020,2/1/2020,2/16/2020,3/1/2020,3/16/2020,4/1/2020,4/16/2020,5/1/2020,5/16/2020,6/1/2020,6/16/2020,7/1/2020,7/16/2020,8/1/2020,8/16/2020,9/1/2020,9/16/2020,10/1/2020,10/16/2020,11/1/2020,11/16/2020,12/1/2020,12/16/2020,1/1/2021,1/16/2021,2/1/2021,2/16/2021,3/1/2021,3/16/2021,4/1/2021,4/16/2021,5/1/2021,5/16/2021,6/1/2021,6/16/2021,7/1/2021,7/16/2021,8/1/2021,8/16/2021,9/1/2021,9/16/2021,10/1/2021,10/16/2021,11/1/2021,11/16/2021,12/1/2021,12/16/2021,1/1/2022,1/16/2022,2/1/2022,2/16/2022,3/1/2022,3/16/2022,4/1/2022,4/16/2022,5/1/2022,5/16/2022,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023
binancecoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051223307,123.5910785,1302.893456,2105110.864,5430129.007,7664189.331,33269923.42,31075823.15,358680719.7,36333499.3,89254053.91,55203824.26,85913410.62,81370054.42,94077376.46,57278364.04,35452191.01,87593586.83,70426732.19,57100771.52,36273801.32,72356815.22,41585566.5,24038876.99,29326748.44,22991399.08,47373536.67,18835216.9,18548034.78,10491232.55,15191783.74,33173245.33,27558825.28,51789005.95,83134182.42,117695463.7,142555940.5,220740527.9,189561599,270198561.9,344136964.5,531371228.8,308517145.3,261834959.5,200366016.5,205603769.9,216142177.6,161113947.5,98172597.87,122713778.6,184699379.9,243111390.9,202193597.2,195044683.5,166600618.2,168238324.6,363286199.2,243240998,433444195.9,510660552.4,298770292.3,329247177.6,393386119.5,487612724.3,311813810.5,297854669.4,195644814.4,152275345.6,168240728.7,236980556.9,283594972.6,226364373.3,935693765.2,443200921.3,377660568.2,256734113.2,275640282.5,485785914.1,341458022.6,540443823.3,644644087.7,571098971,2296763147,4576664600,3598800729,4729218328,5168188714,7224919617,4542873646,5388131345,1840165427,1790095433,2047778368,1506775911,1554988600,2264660553,1561669782,1699723205,2781284708,2055395357,2164485658,2439816624,1459793198,1750642165,1511805155,1183978070,2097197142,1540189378,1137029115,1862521188,1092656126,1369438095,1727805539,1758873055,2302592253,1078612755,1123721134,1243125175,1029621280,336434858.3,880165869.7,367994492.2,139004435.6,2574887906,1056184721,944822626.1,496922718.9,17764481.57,736192124.7,686300739.6,1031520467,430335213.9,960165739.5,555650019.9,740571912,1090442724,434872016.4,693972293.3,741440221.9,955712809.3,404846237.1,418086969.4,480198153.8,447663725.6,499283797.2,232871211,371814182.8,463086259,988408156.9
cardano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7901021.254,4825255.353,54354032.94,669971136.2,150103426.4,182356185.2,58966605.1,53183519.86,42777371.55,213685102.2,118207280.7,172115119.1,306764418.3,98957494.77,210587950.5,76574765.25,109337178.1,51504850,99077327.12,107262392.8,50496644.82,43581137.01,55038544.98,85926739.48,30032063.73,79764127.51,47948790.03,14545306.53,39848087.72,44720875.31,30894039.17,24067155.33,27869743.4,70787494.18,125531038.4,117799276,118345782.6,360409388,277367144.9,274801292.7,337900612.4,272335513.2,109275867.9,102942548.6,96161823.44,72942355.66,79110816.02,66601561.61,101243655,120671544.5,90495504.32,50056573.46,78089757.05,199275282.9,196053870,242397210.9,120953605.8,98577461.91,99418401.82,100008952.1,396920531.2,139782173,890049224.2,388081290.1,267609405.3,410697605.8,291750874,454859334,462276340.2,678077442.8,419980897.9,387251336.3,367673987.3,308740738.2,1526479658,574321991.1,1053156168,2565853415,1922223620,6170566197,14237710595,4425930270,3359856102,5151594795,2888334739,14459264756,5422971274,3023834613,3404132646,1134344778,1223097832,5241111651,3914011834,3923375598,2092736073,2748616055,1841470221,1172113433,1572337424,1395379667,1106501857,801645016.3,817625399.8,1036467398,1359833504,672590089.5,1624760196,592228137.5,787135961.9,922868708.5,2809963269,2198550477,824504186,675020078.9,750223549.2,823679937.8,442697001.1,563333171.4,476695048.2,311812753.2,541574807.8,318852397.6,280053878.8,231166876.3,155399786.8,390932534.5,485110346.3,484645105.7,238422456.3,599759982.2,716335256,559309012.5,237510775,187955307.5,200489171,279473081.6,425857201.4,238740937.7,181518352.3,174122704,202978206.8,124078606.9,122189783.3,86253737.18,334181312.9,402034483.1
tron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324833.201,4702198.485,353192316.8,437407541.3,536117811.5,152353914.6,158601725,281204549.1,165910996.8,338758494.6,314114410.5,1768978578,286447407.4,366144731.5,196037936.7,180811433.2,160740954,209771821,136200721.6,106731989.8,149466615.2,126179237,236379489.6,47516077.46,112493525.6,116015554.5,41299461.96,66923561.12,243037256.2,178424366.4,93981332.18,143949535.6,140494787.5,175094518.2,409800570.6,532639352.8,1063236696,1066279713,832558213.7,1322303170,935105185,696611781.7,730405850.6,523327428.9,618551935.8,741223555.5,704780746.2,1121663893,983889686.2,1042998946,1003812486,1134528759,1714994031,1595598322,1987059315,1557806279,1207103475,784062509.6,1278330888,1751598144,1403893410,1587157917,1244045343,591774929.5,408745006.6,477233638.7,817497747.8,1063299340,1554818739,856393920.9,699495000.9,767531006.6,657249344.7,1022464009,663257678.4,1231160613,1465077080,1697690360,3074598871,1886197817,1820185186,9550467604,9480469929,2921212394,3969253311,1762007584,1114269539,1707007425,950007952.1,975842960.4,1446435000,1379178625,2402082651,975275033.8,1568145090,2482494898,3245667583,2099466339,1353775852,1170440136,649753583.1,688555578.5,708978142.5,808985002.5,572573650.8,1822112581,1044288182,1104564765,934498660.4,1040511734,3389313133,781048266.4,488359775.5,446565020.8,437143941.1,341091688.5,368398029.8,389567496.8,406366697.9,309520305,462248109.2,269003638.7,241333907.6,158223474.8,340875844.7,349673011.4,469347114.5,252092641.3,502302702.1,344358842.6,271910639.2,284253196.9,271244850,326783191.4,316621215,307417911.3,231268873.6,293585605.8,185587361.5,226001485.7,239790522.2,179640184.9,222977446,374191620.9,419232072.5
chainlink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729243.996,4398348.133,13806485.44,11148427.93,8965498.297,7062511.888,7219909.948,4667164.314,8372837.033,7191143.679,10629295.56,16342328.06,3953863.162,1881815.654,409657.1932,1455046.414,402666.1067,2319946.894,2271822.986,1125303.278,440165.9781,1439826.525,1991170.866,9280229.491,8537388.018,6340159.407,1922298.34,2195294.098,29695908.09,8679127.551,3964342.041,5797254.466,6033479.58,14383182.71,6849115.597,6020597.49,22007006.19,58508884.41,107831099.4,437708478.1,127803598.2,73213074.23,82741473.45,45877647.86,132859997,76298899.31,99529238.41,101460866.5,144753470,110184326.8,102799616.1,91335137.27,243763110.6,178496875.1,591901187.8,460516172.6,440444295.9,213106561.4,446311089.3,526466854.6,299850208.2,413280687.8,402905533.4,267117660.1,1198228723,639095620.4,2235889178,1022273062,843724685.3,710976387.9,620117587.3,934445822.3,529115167.9,1206281280,610657454.3,1068793669,5446395577,1794320228,3274446818,2147078399,1927868765,1475136599,3801387078,1417891047,2558139630,2468673771,1270307655,907152170.8,643424395.9,1105673123,950128281.4,1432869187,1812550197,921098525,1220883029,891104087.4,793741942.5,948925997.2,1026687947,884102750.4,904389438.5,980643276.2,537901444.6,677330650.6,462822980.5,827597548.8,353020143.1,461856478.8,424805864.4,406343487.8,1458016245,508536823.7,566073542.9,597477858.1,532867873.1,266449837.1,593200435.3,424880812.5,208138675.9,703974504.7,413319401.2,458238609,215121058.8,156180641.5,430380700.7,228013487,359580998.8,319921135.4,433396330.9,391944795.1,304932640.5,173988227.2,138220124,127426672.9,148419252.2,337011306.7,156234947.4,214881592.9,287565278,225661318.4,133604004.3,300265717.7,163093441.9,950588518.9,868275983.1
maker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18622.71211,123674.6827,14352.53857,7282.568361,9198.490061,524701.4146,35277.34071,71978.02557,66638.88095,271905.9628,68740.63553,220205.9439,89240.27526,77274.46719,141583.6445,195000.5755,68785.66083,282393.0758,32636.84792,261170.5577,75571.33151,1114297.615,226876.1246,25444.17221,65365.2088,166112.4804,1056340.537,1556598.325,695059.2472,1398383.553,3168206.675,1876298.122,2297160.765,4003388.63,1612202.006,2203957.776,1431506.635,2737090.923,1986003.501,3101575.588,13573587.58,749860.2894,857778.2948,10315323.81,5894457.532,7587852.294,5331825.279,1514014.528,3573157.978,2305471.813,1834734.219,3048364.845,3316232.636,3238096.389,1863022.668,1945064.784,3566189.18,4556431.007,8344719.615,33766363.31,11192017.54,6307202.978,13166669.95,38599480.15,45274437.05,55746507.3,49357775.15,27943279.74,30829464.21,32277031.03,37051859.35,31007284.48,35912164.72,253716308.3,176347776.6,196313427,129487158.9,121106938.7,84197282.8,1301391614,233604321.9,374518960.5,204952277.6,88611754.56,125954535.3,101569678.7,63641989.58,128468992,131787862.9,111929505.7,72068555.28,81783483.75,95867954.98,98180115.78,202329346.2,59325687.25,70834903.79,35125095.46,66654232.23,43014799.12,68680681.36,53740078.17,73238029.01,79436147.77,64633200.46,144094740.1,77575270.79,88990382.86,105488553.2,81403790.94,266710817.1,154563361.7,25623936.46,32058675.66,37838719.08,46851064.13,24477613.54,16829855.38,18825684.61,11709383.3,16912610.04,25586172.21,14616695.6,42430549.59,38081273.22,120676058.5,27447887.59,33191277.16,13871569.66,11851469.06,12488184.14,16613707.43,100372420.5,38495930.7,100516768.4,100629754.6,152044353.6,90373496.07,79128504.41,44630176.35,44282270.84,135628203.8
usd-coin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440176.7156,226475.4115,632527.0708,17108423.68,35660545.69,289114389.2,262332849.8,204856507.7,805325998.9,320799264.7,1854876516,2064364336,1400475111,1747735659,1423113803,150419607.2,2699800280,3710826254,5475379571,5387529839,5617561333,5564679730,198726658.7,224433890.5,258290811.6,215891095.3,203389842.2,177468687.7,203933752.9,235182743.9,492603662.1,366405556.2,790480767.7,863646820.5,675124870.8,697834904.3,744862726.9,539464213.1,394797762,292859242.7,314007971.8,231312004.1,261130249.8,417906726.4,417132164.5,423654990.6,663740043.5,365642441.5,418789142.9,368803111.5,486330411.9,819894318.5,607924540.3,1328183557,2488663055,1169828540,2142633582,2405474885,1824902516,1506219367,1800585366,1860149010,3414917865,3165796909,2512011566,2251454932,2011101996,1962863836,2234159327,3007179575,2097229479,2866947561,3586483896,2566827154,3370365709,4585816537,4810751255,2484799558,1803390799,2506777481,2957987059,4573101173,2951769459,4381712670,6250737926,4425093871,7606418725,5496047077,10958855574,4557758119,5076593407,6576375143,7323677232,4422416418,7489176466,4032237636,2341774321,5242403595,2929324404,3001604927,2396699229,1281491334,2529053274,2726558290,4417931111,3502419927,7058291235,4181802680,3360892392,4963158560,4684601953,3677434131,5560434567,4634481662,2148548616,3075157970,3215612151,6439583091,3467711743,3041232671,2777565899,6234204456,12727739838
matic-network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23996173.17,48234032.9,57155721.04,41376359.45,66977116.34,18281687.85,6685808.752,25803411.53,4839536.024,4012935.545,10700082.54,18358048.65,13286325.09,10889775.85,57019054.29,27858440.93,10713807.14,29508080.86,24776333.99,47859748.9,33641423.6,21270124.2,12392526.32,9331259.727,33517357.11,39782503.25,88350182.24,25137143.06,11981680.08,24658283.2,11445887.55,62309839.45,14518132.97,16804788.23,9684105.777,6026819.922,5718753.053,7356047.194,13198889.38,14914642.78,11060707.06,88337107.33,43349697.79,249852146.1,686388221.9,656875144.1,336976081.8,533662174.4,2380225743,6792729904,3836091188,2609137538,873591818.5,410231684.1,678673262.9,825848470.4,1083615585,791738350.8,586344643.8,4316164934,1260219841,564295637,1237372771,2703718559,1473032171,827109143.5,826611401.9,1060112924,1105856067,538198754.4,859132931.2,359468034.1,527470696.9,459856541.9,475891135.1,640345295.8,920430142.1,1133893606,919699920.5,526625660.3,426296939.4,419521476.5,356785192.5,193354278.6,383305355.8,768614615.1,561107825.9,284336710.8,133538052.2,460749897.2,433238266.8,734667758.4,566189249.4,911166789.9,364579778.2,361190554.5,235661790.9,208447838.3,208808381.1,577387031,371397060.4,209246322.1,177306551.5,249674156.8,267556525.5,148134081.6,179368713.3,109200451.7,342629776.3,1112013846
solana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12659541.41,5182978.538,1837728.915,1936502.361,1052111.259,4200596.311,3361791.927,5087571.122,13945414.89,19476155.19,12635260,5787535.353,8122715.969,6702913.2,17895366.81,10302108.66,25707468.39,17111375.74,58075508.18,97446415.86,109980858.2,388225411,133187836.2,255371895.7,267944999.9,715484397.7,617414124.1,556481220.9,508646352.9,791091273.2,469048385,614044704.4,1453940559,7097442297,3973589945,2213933968,3892259613,2508960378,2359326722,2697160308,3458991299,1380634374,1003160677,1715569711,1630619496,2674553479,1247125823,3421557222,1039846461,1165702569,1436230716,1569957000,2629566358,1194361731,1325304480,1063136071,1018586521,710498153,1035640343,1166717016,545155338.8,1142703751,811376855.6,302419321.5,320493477.5,328903351.5,1967106482,636667495,831022310.7,353854572.7,891834503.7,415947399.7,387945854,425241774.7,339745928.1,264038937.4,371929576.7,828667787,1182553641,401006374,452521516.5,400346096.9,220573537.5,378177852.7,204660747.4,1785301824,3841779027
polkadot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430398059.7,301361216.9,131549097.2,143464781.5,91136861.77,101700104.2,281162258.9,226657411,1926142319,4067988418,1145966595,2472116589,3361298154,1939668585,2749780925,1865431184,2053574634,5670783483,1916499740,1499821201,858783153.1,559591550.8,970085119.1,944471290.1,4569057825,1625848751,946076212.7,3340306020,1166429150,1101847678,1373406877,1427962621,1029198944,915517798.4,943068662.2,648661043.8,1335777108,483167184.4,986419412,417489722.8,533768189.5,737142046.4,537525367,914920363.8,496017030.3,323795323.9,800855163.8,443748608.9,239489891.3,331917684.9,310145298.6,128879776.9,374068126.8,165930249.8,208688881.2,208210052.3,81868230.06,343689206,217928928.7,335324467.1,265521916.9,396831002.7,220876667.6,191633213.1,126929660.5,109157885.2,115447803,202589996.9,193230503.1,129213066.3,110824749.9,106091050.4,166486222.2,99539803.84,73020900.99,71472706.64,241314721.6,294741812.4
avalanche-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12785136.09,4178780.246,18619900.78,20663402.6,20088310.89,19338279.71,18856276.37,121449906.3,302913973.2,488806991.9,232538774.7,321463773.3,224818137.6,576835317.8,473821081.6,572957487.1,102016798,101565624,66998154.48,40991543.84,73531554.06,85919858.88,803631238.1,1098543373,984994428.3,549140651.9,384088099.3,1216611402,1692359875,2313502472,1284949876,481150093.1,666682025.1,970909305.3,1381432825,786640492.6,1952352331,551282644.5,699701092.6,676678663.4,863192887.9,912041613.4,463523771.1,545375219.8,452514990.8,439043751.9,347264486.6,369102169.3,223400291,103206247.7,521910364.8,168716845.6,169403886.4,146947782.2,82784272.17,562834734.7,411327605.8,271716406.1,190847325,347876942,219235413.6,217413976,125171231.6,145604948,137282509.7,160511824.9,240974179.7,199732268.7,118490824.2,124519709.1,163427313.4,100980581.1,90393164.88,95950388.28,303876712.3,1494200279
staked-ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81813.99825,23973.27157,13164.31598,7792.460148,142945.4712,111250.9587,367875.1461,319865.2157,1176354.486,2029142.14,20585531.33,2352052.606,303809.0286,4821190.938,20817343.66,3031928.64,5942070.285,16664008.95,5082557.512,7308645.313,12336142.63,16549890.32,494484.5132,15233993.78,9013148.662,3342483.195,88631629.12,2571494.975,5807037.313,32029858.83,75261520.36,381296487.2,7061719.709,120887834.6,17925220.39,138167348.5,9962577.491,21930480.08,14079972.42,3453034.007,5811274.966,51086980.45,19708788.98,19476007.81,7599735.477,28936688.04,22379093.01,8265518.284,171250661.5,38517541.42,195477680.3,38223733.26,13805883.72,54467850.6,20932346.87,16401761.43,9985622.362,7675445.037,23145220.39,54291391.92,16040973.86,8396781.524,111384819.3,18299361.45,16418221.64,5361160.648,9725150.123,17959814.85,11338833.02,24873140.73
