Dates ;2013-05-01;2013-05-08;2013-05-16;2013-05-23;2013-06-01;2013-06-08;2013-06-16;2013-06-23;2013-07-01;2013-07-08;2013-07-16;2013-07-23;2013-08-01;2013-08-08;2013-08-16;2013-08-23;2013-09-01;2013-09-08;2013-09-16;2013-09-23;2013-10-01;2013-10-08;2013-10-16;2013-10-23;2013-11-01;2013-11-08;2013-11-16;2013-11-23;2013-12-01;2013-12-08;2013-12-16;2013-12-23;2014-01-01;2014-01-08;2014-01-16;2014-01-23;2014-02-01;2014-02-08;2014-02-16;2014-02-23;2014-03-01;2014-03-08;2014-03-16;2014-03-23;2014-04-01;2014-04-08;2014-04-16;2014-04-23;2014-05-01;2014-05-08;2014-05-16;2014-05-23;2014-06-01;2014-06-08;2014-06-16;2014-06-23;2014-07-01;2014-07-08;2014-07-16;2014-07-23;2014-08-01;2014-08-08;2014-08-16;2014-08-23;2014-09-01;2014-09-08;2014-09-16;2014-09-23;2014-10-01;2014-10-08;2014-10-16;2014-10-23;2014-11-01;2014-11-08;2014-11-16;2014-11-23;2014-12-01;2014-12-08;2014-12-16;2014-12-23;2015-01-01;2015-01-08;2015-01-16;2015-01-23;2015-02-01;2015-02-08;2015-02-16;2015-02-23;2015-03-01;2015-03-08;2015-03-16;2015-03-23;2015-04-01;2015-04-08;2015-04-16;2015-04-23;2015-05-01;2015-05-08;2015-05-16;2015-05-23;2015-06-01;2015-06-08;2015-06-16;2015-06-23;2015-07-01;2015-07-08;2015-07-16;2015-07-23;2015-08-01;2015-08-08;2015-08-16;2015-08-23;2015-09-01;2015-09-08;2015-09-16;2015-09-23;2015-10-01;2015-10-08;2015-10-16;2015-10-23;2015-11-01;2015-11-08;2015-11-16;2015-11-23;2015-12-01;2015-12-08;2015-12-16;2015-12-23;2016-01-01;2016-01-08;2016-01-16;2016-01-23;2016-02-01;2016-02-08;2016-02-16;2016-02-23;2016-03-01;2016-03-08;2016-03-16;2016-03-23;2016-04-01;2016-04-08;2016-04-16;2016-04-23;2016-05-01;2016-05-08;2016-05-16;2016-05-23;2016-06-01;2016-06-08;2016-06-16;2016-06-23;2016-07-01;2016-07-08;2016-07-16;2016-07-23;2016-08-01;2016-08-08;2016-08-16;2016-08-23;2016-09-01;2016-09-08;2016-09-16;2016-09-23;2016-10-01;2016-10-08;2016-10-16;2016-10-23;2016-11-01;2016-11-08;2016-11-16;2016-11-23;2016-12-01;2016-12-08;2016-12-16;2016-12-23;2017-01-01;2017-01-08;2017-01-16;2017-01-23;2017-02-01;2017-02-08;2017-02-16;2017-02-23;2017-03-01;2017-03-08;2017-03-16;2017-03-23;2017-04-01;2017-04-08;2017-04-16;2017-04-23;2017-05-01;2017-05-08;2017-05-16;2017-05-23;2017-06-01;2017-06-08;2017-06-16;2017-06-23;2017-07-01;2017-07-08;2017-07-16;2017-07-23;2017-08-01;2017-08-08;2017-08-16;2017-08-23;2017-09-01;2017-09-08;2017-09-16;2017-09-23;2017-10-01;2017-10-08;2017-10-16;2017-10-23;2017-11-01;2017-11-08;2017-11-16;2017-11-23;2017-12-01;2017-12-08;2017-12-16;2017-12-23;2018-01-01;2018-01-08;2018-01-16;2018-01-23;2018-02-01;2018-02-08;2018-02-16;2018-02-23;2018-03-01;2018-03-08;2018-03-16;2018-03-23;2018-04-01;2018-04-08;2018-04-16;2018-04-23;2018-05-01;2018-05-08;2018-05-16;2018-05-23;2018-06-01;2018-06-08;2018-06-16;2018-06-23;2018-07-01;2018-07-08;2018-07-16;2018-07-23;2018-08-01;2018-08-08;2018-08-16;2018-08-23;2018-09-01;2018-09-08;2018-09-16;2018-09-23;2018-10-01;2018-10-08;2018-10-16;2018-10-23;2018-11-01;2018-11-08;2018-11-16;2018-11-23;2018-12-01;2018-12-08;2018-12-16;2018-12-23;2019-01-01;2019-01-08;2019-01-16;2019-01-23;2019-02-01;2019-02-08;2019-02-16;2019-02-23;2019-03-01;2019-03-08;2019-03-16;2019-03-23;2019-04-01;2019-04-08;2019-04-16;2019-04-23;2019-05-01;2019-05-08;2019-05-16;2019-05-23;2019-06-01;2019-06-08;2019-06-16;2019-06-23;2019-07-01;2019-07-08;2019-07-16;2019-07-23;2019-08-01;2019-08-08;2019-08-16;2019-08-23;2019-09-01;2019-09-08;2019-09-16;2019-09-23;2019-10-01;2019-10-08;2019-10-16;2019-10-23;2019-11-01;2019-11-08;2019-11-16;2019-11-23;2019-12-01;2019-12-08;2019-12-16;2019-12-23;2020-01-01;2020-01-08;2020-01-16;2020-01-23;2020-02-01;2020-02-08;2020-02-16;2020-02-23;2020-03-01;2020-03-08;2020-03-16;2020-03-23;2020-04-01;2020-04-08;2020-04-16;2020-04-23;2020-05-01;2020-05-08;2020-05-16;2020-05-23;2020-06-01;2020-06-08;2020-06-16;2020-06-23;2020-07-01;2020-07-08;2020-07-16;2020-07-23;2020-08-01;2020-08-08;2020-08-16;2020-08-23;2020-09-01;2020-09-08;2020-09-16;2020-09-23;2020-10-01;2020-10-08;2020-10-16;2020-10-23;2020-11-01;2020-11-08;2020-11-16;2020-11-23;2020-12-01;2020-12-08;2020-12-16;2020-12-23;2021-01-01;2021-01-08;2021-01-16;2021-01-23;2021-02-01;2021-02-08;2021-02-16;2021-02-23;2021-03-01;2021-03-08;2021-03-16;2021-03-23;2021-04-01;2021-04-08;2021-04-16;2021-04-23;2021-05-01;2021-05-08;2021-05-16;2021-05-23;2021-06-01;2021-06-08;2021-06-16;2021-06-23;2021-07-01;2021-07-08;2021-07-16;2021-07-23;2021-08-01;2021-08-08;2021-08-16;2021-08-23;2021-09-01;2021-09-08;2021-09-16;2021-09-23;2021-10-01;2021-10-08;2021-10-16;2021-10-23;2021-11-01;2021-11-08;2021-11-16;2021-11-23;2021-12-01;2021-12-08;2021-12-16;2021-12-23;2022-01-01;2022-01-08;2022-01-16;2022-01-23;2022-02-01;2022-02-08;2022-02-16;2022-02-23;2022-03-01;2022-03-08;2022-03-16;2022-03-23;2022-04-01;2022-04-08;2022-04-16;2022-04-23;2022-05-01;2022-05-08;2022-05-16;2022-05-23;2022-06-01;2022-06-08;2022-06-16;2022-06-23;2022-07-01;2022-07-08;2022-07-16;2022-07-23;2022-08-01;2022-08-08;2022-08-16;2022-08-23;2022-09-01;2022-09-08;2022-09-16;2022-09-23;2022-10-01;2022-10-08;2022-10-16;2022-10-23;2022-11-01;2022-11-08;2022-11-16;2022-11-23;2022-12-01;2022-12-08;2022-12-16;2022-12-23;2023-01-01;2023-01-08;2023-01-16;2023-01-23;2023-02-01;2023-02-08;2023-02-16;2023-02-23;2023-03-01;2023-03-08;2023-03-16;2023-03-23;2023-04-01;2023-04-08;2023-04-16;2023-04-23;2023-05-01;2023-05-08;2023-05-16;2023-05-23;2023-06-01;2023-06-08;2023-06-16;2023-06-23;2023-07-01;2023-07-08;2023-07-16;2023-07-23;2023-08-01;2023-08-08;2023-08-16;2023-08-23;2023-09-01;2023-09-08;2023-09-16;2023-09-23;2023-10-01;2023-10-08;2023-10-16;2023-10-23;2023-11-01;2023-11-08;2023-11-16;2023-11-23
tether;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31;49631;65;0.0;19191;40941;40294;617;119;139;18579;6808;0;226186;20006;101760;32117;2859;1214;59655;1865;2368;512;8940;6069;100573;19997;142978;8079;98610;76000;24088;1258310;28790;6018;303493;10077;94882;40000;4875.999999999998;14252.0;73936.0;21926.999999999996;0.0;0.0;59167.99999999999;106613.00000000001;118129.00000000001;148223.0;72590.00000000001;85451.99999999999;49964.99999999999;439805.9999999999;62183.000000000015;513383.99999999994;46714.0;79991.0;567669.9999999999;187310.00000000003;1025869.9999999999;156872.0;3545150.0;2786280.0;995953.0;1240740.0;284886.0;739115.0;1898950.0;608673.0;2198160.0;1255120.0;814406.0;933056.0;745524.0;903976.0;363941.0;369373.0;278375.0;634782.0;2243490.0;671972.0;1524020.0;517596.0;916061.0;431050.0;209513.0;2833730.0;1914630.0;3822640.0;1229420.0;2578610.0;3422760.0;2956910.0;1568140.0;1523820.0;11909100.0;11858400.0;33318300.0;12745200.0;15146700.0;14699300.0;7306380.0;17240500.0;44670600.0;86459100.0;52967200.0;67556600.0;100492000.0;66659300.0;110022000.0;41135200.0;82282000.0;62482500.0;177777000.0;115334000.0;169383000.0;130118000.0;120674000.0;196253000.0;198779000.0;319158000.0;234360000.0;117402000.0;103305000.0;123248000.0;204073000.0;201830000.0;243987000.0;525874000.0;641835000.0;722394000.0;750154000.0;1994670000.0;1588870000.0;2377950000.0;1681610000.0;3798580000.0;5541320000.0;3128360000.0;2662360000.0;3352860000.0;3297560000.0;2928040000.0;2396490000.0;3049800000.0;2284550000.0;2170840000.0;1765870000.0;1329360000.0;843295.0773858895;797465.0799131572;1729590.0505769944;2217845.1706808005;1586606.626619518;1902722.4134630484;814795.8500419622;1642225.9212771317;2763878.2689901027;1977950.0601719145;1521506.800604879;645476.9898685842;1696894.7658761607;3075073.7508174297;1615377.0740267874;81164838.1253856;109675394.8523238;94456844.90545014;99498842.62877457;131660254.75007541;112082132.88977736;130336623.54495701;139339764.06859887;65173094.829102844;246203417.96966273;85638828.46086644;63741585.11531513;71896266.08196235;114761798.69600266;60328754.90762207;67160998.07154073;122179571.80468914;81486365.60460496;115486015.5577136;107660509.90219206;118440968.1671872;206378942.27503762;206265684.65594205;4354176577.4014435;4244411127.2476277;6183126579.663423;7902879997.960882;9743115331.245068;12179133136.747332;12652142426.327345;13187400839.160196;15416444877.25504;28473675101.240322;18918457515.215042;21242676274.151207;22841399110.513233;24882509338.01884;43301978192.97673;26512861258.236126;33141027238.172085;28112355877.97167;28939981289.078648;47173001896.226944;42633499131.79861;33589746567.12486;49555137657.77083;38466721204.00193;36578677807.06383;41863491595.673546;46008115419.86097;35678010931.500114;29438620417.681175;21662890657.025864;17756715649.039593;20183904895.218098;25847527149.9095;25559983804.799576;21493954351.51166;22592600143.98734;35532580746.11801;32029646985.29064;29250394793.771206;42906098775.249084;19383832515.74999;17694479338.91777;19531688421.926453;26319649536.412926;23700467688.597626;38566149172.81088;57728408600.02831;30662512551.840458;63083137863.675835;89855187101.49152;70029696425.96321;37409628165.20042;39523155374.76641;44669108239.37727;41647999561.05808;45666848648.790924;37371758622.055305;55214734210.64167;38885674226.81375;43904285472.12395;84999917731.29776;68944822444.00212;49089484777.71272;32937533708.43999;32627799631.717827;28210803967.2387;35039555236.67991;22699390532.037083;17274516831.34366;19384001352.666412;16408360294.338612;18165018452.377995;27673049712.20945;31470497321.42682;34427440251.3976;33313211681.41461;35149377246.8216;43620239193.98532;38756861577.17954;33999511557.303665;28716486086.136436;27990241489.113285;30259351504.450638;32926083270.942074;28108751849.172264;43124008602.436;26040137067.849957;59071231387.87892;56688978353.28659;34758671978.83057;34912750509.05307;56285751885.75779;50122642446.09134;112491987599.54878;96992240843.62924;109499932960.65395;77589141304.68518;100586645553.91893;115699648181.2932;170201717747.032;114592683043.66782;77905261747.05516;115152243544.5161;89918317301.61862;107712875950.88474;151690553339.61374;144410423285.8531;165685803341.1639;110625638109.90012;196217441068.6106;182413976652.30734;140620569897.16092;106333238880.51338;76174863843.74341;65068923450.432205;103160369172.5121;66616719526.74056;48556916261.13137;42942514427.41806;43428813456.05195;49381844742.16617;76343156252.16708;63903879901.43939;48676818757.0202;69335489587.16653;132982284043.22202;60094137365.78269;73738822420.25029;59373450628.82089;84443307840.81209;82702631102.2647;69604343929.82585;81300388758.8545;51023872196.6041;58835988895.024796;70612347651.54381;77903647940.8796;65907345018.707634;71759566149.13818;52919369147.368576;49196717110.794;76248643217.62045;36607366340.40375;85185402829.27399;37880065303.479805;54365206254.77577;42565819142.54067;46543371876.529366;58228899349.40055;53909005589.53851;41933112358.22615;54922193565.53534;71216398927.78795;56302450091.23148;39858532327.79374;55616984621.238464;46803422697.199295;43766711609.74511;48374792028.868126;33846701614.601044;49972016539.31704;52407169265.7973;85953586536.11925;41441873470.93056;55599294671.52515;46101885052.58206;48311326146.02206;56089014934.2524;50160771896.33053;31965805747.839172;57625412321.61975;50548635958.83002;36863645337.5263;42962093145.40324;50060584473.28158;45518094563.55377;44169815650.11315;31438334493.592606;19333334085.86333;19582168293.08256;56271256469.37851;93016469924.66942;38525546061.9857;36813082386.050674;40073068049.005104;26719301846.90856;27062224028.082382;21251719991.77933;13764722594.02165;13126628968.52074;33492739683.695633;42222010836.61702;41165769630.836136;48461129566.939766;56998699690.78335;51233553288.689095;32718069236.408424;37662456574.672844;80989287076.21484;51748798673.78007;29874023429.955433;18548285385.588577;21813314655.312077;18029599677.252316;18862210774.189518;14673735668.719307;20209244399.28626;11515676906.842184;20382863080.558514;26966533466.848427;19100399151.19726;13604556265.466303;40611671688.7483;11580264459.262157;14687396233.684244;9669080041.186516;13098215453.817194;22713171469.689056;18746693270.259033;20941760926.608154;26736239975.960033;14679425343.55349;15891527296.867294;13709672706.886576;11726685404.643896;10349035766.974483;11265586640.081322;16751918463.782536;28103385790.780113;26719587656.031887;46901350493.727684;42830366402.04398
bitcoin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23448600.0;78060300.0;18719700.0;18412100.0;14722200.0;86940400.0;24104900.0;44590700.0;22903800.0;21353000.0;4834240.0;10283000.0;35685800.0;10921600.0;56480100.0;8412033.043193607;11953625.134976294;8491458.546028852;5292980.730698652;30253343.70043255;53565199.679242626;6819173.803153491;25803391.330629352;11249420.61918756;38496541.685756736;9269839.610474609;13679053.322608326;9043046.013458895;22927176.796534866;12277588.527439365;27941383.427219495;23986341.558129977;19343751.807486504;27618107.417669404;16956832.82370955;57448184.246617585;26019381.155069035;50777426.825353265;48941848.6690588;48354309.486003265;38569972.59373859;30212775.72296773;95731301.28432417;71063869.31374641;64120830.50054466;66593741.913184226;71798679.48126574;58571793.10819222;46999364.08867299;86570544.47058573;176217465.4940408;126038219.2115576;100844154.3350744;76979240.31280218;128976204.99927545;61755698.92656742;58106060.44444854;45050575.22814669;60818266.22008967;73040649.64393184;78230800.04911813;106548662.28337547;88471192.53868681;55130032.39951651;74708330.707501;79882346.22687149;26856157.042346757;47757592.65993454;43602264.82379089;40449914.18863471;96364192.87222852;37387508.430996;68104997.64448473;79366281.26047984;97423601.54430674;34164576.518917255;53533745.82603215;80056216.9967666;55868003.65302729;72465770.66977338;61479340.23891231;67754768.56019479;51089489.85407352;53526673.23620633;72356986.64595664;97564224.99277282;332398256.1656234;130573069.75416414;582434357.3722049;264157489.62253815;239442892.6065092;188739479.4368917;523072117.50624603;954462002.2518704;896686369.8324581;955949147.6136756;1338781510.5888267;1501742593.9812622;1710583688.2242782;755378842.1307422;1028395380.8818554;542257471.058673;1111797900.4521844;1465084346.963302;2515777833.930286;1845168034.2779822;1895643174.07286;1985257305.3708298;447338222.9775492;727873660.8959363;743886906.6097462;835075482.691219;394606185.83971006;640880145.1265181;649625052.453777;378979422.05785537;864207752.912364;625927307.6959897;2295279422.8526845;2950728708.757519;1520646626.315115;1407424927.2334237;583921219.9714433;749951409.4708184;1099193368.899972;732938493.4891537;665471810.6820532;602216568.6591012;356532608.2572752;1600702238.5928948;546585886.1273316;1471656057.198137;1673872374.0277987;793016113.7517544;1454057375.2025247;3643525162.781228;5882440878.971315;3071821253.356335;9936150861.137636;3775381682.6307497;5522487160.404118;2683311953.2487645;1764681181.2608929;5647399305.622811;3470830329.607551;4735054808.286752;831361487.5460993;467022882.86124325;92784081.5523147;164316931.3624948;66797083.39238934;132273779.09306018;105587214.84284867;248575333.3901731;137592935.4142275;82048831.9755843;87750426.90171514;43899666.20643768;36294382.376176596;84420564.20787704;217759983.7243955;276144904.85303676;218205145.65872082;389402023.7389176;438586633.5187092;580940070.4176636;404682134.6180688;187781433.42478496;207555417.49021047;178182801.69270346;480771847.6159585;532874222.83885914;745400937.0961412;803019985.1887337;1755705435.2806149;801748251.0347502;909131411.605347;1477975497.7897267;1399781741.4877734;578068211.7796992;682387248.0888995;771225396.3362144;1060235879.6212636;2039339670.519878;2095690342.820862;3478638875.179309;3413089663.2046;1550586714.56084;5021611419.94158;24144297784.1442;5116192713.25694;5076754666.02441;2345478673.51547;5752981089.536744;9677283153.059654;4779406610.509539;3225562144.838607;4862232217.401406;4332356645.963475;4626064156.354444;3182259829.3149323;4896773758.150409;4571407139.639841;2931676659.5938525;2565052340.2323847;1856418405.5749633;2350690710.8285303;2503340749.6093006;2508704421.0187726;2767085706.197567;2586241489.8424945;1895031387.309464;1714862985.0808516;1459894514.226805;1740752641.6341267;2932411240.2020984;2086842501.722632;6047929422.833753;2857367439.538571;5717881945.865358;4675498855.415108;6729676123.905343;6619548180.387301;6759411527.692144;5959884320.762271;4422971841.981781;4295951323.506035;5159534298.571353;1908960742.721659;1499424737.458561;6217858944.018429;2655159954.716826;2042670545.032488;3120683820.785003;4981978552.514329;3055231902.513544;4007783472.5882053;5243194483.926532;2103029919.7436218;3568245607.7466927;2991427568.3035398;3360163853.3972144;2953789408.2270346;2718371971.9030104;4330022381.196439;3297274818.3709226;4506367416.966915;5999302845.797907;7627783000.608827;6098011809.539175;8157372614.811613;9404569962.845264;9729996888.256725;22875598540.266926;13837248984.63684;17199396916.729523;16794865767.201723;19408267639.192204;30893707828.03641;24589881451.39529;30329343188.810726;23629265497.41496;21892878336.785255;40190146696.56423;34920211165.40479;25828700446.947784;37553147017.32781;21903683695.255173;22957330875.71389;30083670251.80272;31003755661.55879;20144228964.473103;15364904438.864746;18658457493.748917;13781855194.274492;16268084726.893106;21681424234.680668;21702135918.512657;17879549108.634247;19789278104.487;30452200168.00832;27099310469.653824;27102692384.575447;39111609334.13761;19070509164.52246;17579259210.777077;18896096612.075874;24325792143.84145;21187883711.18498;34823187724.289955;48160401007.254;25628542094.50134;50102814005.68021;69495711755.62915;51460340288.898056;32555342237.084362;33291626663.006737;36764763103.12236;32985693209.74783;37255748385.30394;32287674952.1782;43386074290.71468;29692916171.011845;30819547915.3444;65838312160.09067;61712313964.69186;44866846516.37974;27700943119.83718;27396663221.152317;23856639264.762486;29160908896.896835;24768621256.838917;19741435780.48584;18945747769.31741;16565948994.90621;19702428931.328556;22329797905.441616;21624736673.079872;21285690552.515503;19572783953.57896;21077276617.8664;26560146962.23275;23802088944.396893;19866578108.977962;18558607662.6852;17222472599.6063;20511481706.663586;25070864646.764915;22691200479.405403;30369855794.73288;19184714602.510406;33010231293.95878;36160827241.441734;22034483383.94943;24173322660.107285;38733771616.273865;43503516563.294876;78642959829.4919;63450740093.03335;69549742252.37038;42488649643.23183;53802559038.8092;61061855793.76279;101532021847.06647;59679588927.08056;46146324828.48082;70594488699.70683;62001716794.84347;57495844477.9185;67617613532.43307;60495376851.28074;77897442831.71704;53879045974.4321;68154805947.0942;62896879696.14898;61178935273.653305;37950798680.48171;33345528753.340153;36706248352.237144;57443014757.92467;31024153846.878517;23692220470.135063;21557729227.284348;19741588059.45234;28437941447.49927;42725276705.46515;32863850458.005253;27110183703.24463;34868965959.24512;64010507329.271904;30037816650.128475;36624234960.05299;30859918334.565014;36549815857.28183;53653355008.40819;40766460604.96904;32494948460.791386;24877902989.784378;32107212452.298412;34001467918.52828;35723038603.83064;30083305919.5604;33782603071.208714;21887790445.928295;25895349604.886154;79685254648.07628;14651008624.734596;35517336417.257744;17731563487.283978;24171856714.475758;19801081788.555756;22212181617.200245;30634280854.538326;24596395439.058964;20768829817.938637;28688623151.357098;27736469645.537262;22960138784.304127;22053774554.17729;46022063018.95215;20955789685.355682;19130720394.98043;22948123704.172672;17199930154.801018;29770567353.488136;36111325508.04181;52027211446.51121;24955466738.110855;22816515394.911003;21927087503.433758;46542248374.33238;40304373301.41499;31786729326.443203;14324042469.270954;33404812507.80541;28856912427.175735;27825786159.855602;30517907004.082462;33715957206.68328;37660914389.8923;37848666330.67224;25445042398.337975;13103099352.405506;13362526957.65784;37290619694.72375;91750982446.38734;28676275678.9418;25091849198.571053;30676053555.32337;21192130005.603653;22754686787.817104;17847826941.681046;12013247678.029587;9594456673.448975;23072133987.553684;34124364415.43915;32683643418.329483;38850594358.69947;44336284482.19016;40336608135.49699;25534054046.06684;27780357943.162678;63107437928.81401;35394833933.50181;19112345639.962193;10141276803.893911;11028264273.146706;11700230849.968126;14707008604.647;10199066943.170338;14570026781.747086;8025716966.179398;10001106221.647074;14723854336.09437;15184095954.029512;19613389213.798763;21422361050.823097;13018507892.814608;6233916918.782722;6745541064.873876;6641808341.386258;13252185122.112452;11523395157.99864;13702941053.015312;20360682650.055054;4521997781.160889;9768889419.723415;9968041758.936823;6295435107.555985;7226218924.820883;6604845643.42894;11330304246.065748;16419150928.652367;18582602380.374496;28479730068.295124;25245202377.321384
