Dates ,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023
binancecoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10116815.72,124362891.8,207284814.1,874105359.9,1095182398,1034409666,1100591194,1624677820,1615512909,1648892032,1347243331,1078009887,1446314353,1369356961,733037375,879152887.9,899814627.7,1488164311,2518457977,3142590563,4754217793,4511665471,4308951831,3301687997,2453809747,3060506253,2410939854,2103940815,2788030152,2982985654,1906878809,2521986646,2508703324,2283276874,3060607052,3429200222,4325855176,4195740162,4628855599,5507755823,6522941334,32747054924,46841566979,96328564775,54552491113,46954864789,51852888024,72059236390,59862261976,88397508686,1.04926E+11,86323960659,63111084941,66424867796,72076475923,63862082109,54115193869,35182367552,46356068028,45512248504,46399832662,53528392692,49274297384,40273794262,42108205614,47506411710,50095782785,53251356964,48465020079,37477654423,37107293026,33290878919,33034392756,34806395605
cardano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598812561,3392534112,19371162465,12949584182,7928659808,4032488129,8846201710,5816888952,4288143511,4451112816,3180792980,2649312387,2191647001,1214174050,1261212382,1187186856,1331427782,2174696705,2163523431,2794672967,2571108567,1988646317,1396454705,1206975603,1287621449,1258035023,1020670721,1685694719,1481631104,936797188.4,1509035251,2293903473,2585686957,4329088644,3800068625,3144236576,2891746978,5342764713,5664962992,11024882711,42022774484,38261200551,43251677970,55918127621,44441813699,42626960806,89320739294,67871265795,63182237771,49831565724,42196254346,33717971206,30630996790,36564438554,24181808101,21403006491,15248112249,17550498086,15116206759,14696613225,14239209402,11241301722,8639667067,13739947312,12341133082,14009040304,13971464375,13129990738,10050094321,10781568926,8938907040,8894395028,10221652687
tron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140761166.9,3396160240,3562404576,2839809835,2244484867,6145853033,3976994280,2525496191,2227507311,1664207198,1457076025,1474002806,942162802.1,1219908618,1658929787,1550692005,1564123251,1575016803,2170312508,2131420638,1481667779,1024664148,955244535,1312945235,1023874688,877119319.2,1234596197,1098128042,767781026.1,1013846525,1041716731,1083872403,1300902580,2106364631,1877606980,1851059113,2320261921,1918734259,2261454307,3272912691,6602014664,9546012983,5494058082,4891857389,4608623372,6375540062,6418268354,7268165382,6942321047,7696011278,6004039264,6270077052,7474549341,6385332847,7904025076,5885419101,6380766594,5866227982,5639234809,5840833548,5055082050,5013741009,5714307213,6305832875,5985820549,6120621209,6800876267,6848722276,6992275740,6857494973,7895797935,8632791161
chainlink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62756735.18,262861550.5,215872863.2,234524268.7,98485098.83,188724611.4,120471986.6,78488469.25,102617907.9,119927573.4,120976487.4,187507327.6,115528597.3,108304380.7,140425337.3,154384460,184778819.5,169716365,368112566.7,1233546996,801129122.8,649088568.4,642277008.1,995335912.4,815761033,642831294.2,1031143796,1490255791,819668397.8,1353940282,1567749690,1743013899,2972451670,6015458739,3806457391,4386318370,5626196325,4465023910,9106653406,10178574422,12076610998,16116983357,13732388150,8524079841,10151007353,12003882155,10859891608,13911077542,11886223849,9194057555,8046817898,7057840956,7901479215,5122068662,3575706587,2877469491,3583584499,3096582025,3735347470,3857243188,3787845739,2736048143,3415121357,3532721703,3933941376,3658559637,3354069114,3256610967,4062595801,3160239568,4548642965,6305175405
maker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837015216.8,655261134.4,322785032.5,643563654.3,470348707.9,327479729.1,403908353.7,307945711.8,359539299.8,443822293.2,264390194.9,322937594.6,266277227,487634957.9,710487215.8,533064818.4,739789128.6,637381146.6,436568287.3,352976583.1,330216965.3,391666699.2,401178474.3,322805962.3,472944596.8,480757187,258862895.6,298767695.2,407971618.4,409359363.4,503147257.7,614883659.8,524004281.2,476554395.8,515881439.2,529774890.1,1338454552,1842414279,1912421633,3909896266,3234284381,2370360888,2705096216,3189093234,2067629131,2183281593,2754302132,2114974365,1925787820,1764943606,1869717296,1291718700,1189306158,778545317.7,995999217.3,687055199.4,665896939.1,809278241.2,596717482.6,462378907.5,589014131,713473845.2,619714778.4,628186835.9,572536505.3,748682348.8,1106215558,1040776738,1382785843,1232664302
usd-coin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127652782.5,179488336.8,250584341,310132134.1,238178935.1,247215043.8,294502573.6,337018772.1,369921760.1,436808772.7,453695805.5,430018640,464372972.3,457052632.4,522027683.4,440802894.1,444538917.7,693220680.9,726339842.3,732150216.5,986360473.6,1079713382,1478076252,2533716802,2937044139,2974088273,3925840105,5890426385,9003494923,10825119296,14671379803,22704685391,25187559420,27319676910,27448639357,31692881419,33110875335,38647787181,42213673135,49918615204,53458489275,51709881549,49179894108,54003654729,56159787682,54475694589,52330137598,47317566544,43404958127,43237688219,44528657221,42443689339,42367057302,32545003021,30507262544,28891039555,27367221915,26489110610,26180791288,25109326927,24741908093
matic-network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9332879.031,49723944.58,48567202.96,24649793.52,25657991.28,23703593.31,32342119.84,72079180.03,35068663.17,45898827.54,52016007.38,30394556.64,42771682.54,68868109.92,66354841.17,76294710.37,100757219.5,76978925.68,58765032.26,93174280.37,84631209.45,184772940.6,1117749256,1804980923,4991210142,11863968587,7337372561,6987112716,8773548421,7527251753,13115422888,12347540712,17486345321,11256659491,11035100527,11093895130,7104638793,4554325283,3689260350,7457474067,6186959628,5796979274,8005095416,8251535424,6808119594,9983569302,10797134763,10176687054,9117104727,8309164582,6156016589,6418228698,5109117382,4957721522,5875386175
solana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635423.506,9399234.951,14164459.01,37711209.17,157231078.2,116997169.8,70310236.99,90930509.96,69766796.85,1108554251,3482110143,5229172252,11625206343,8921358872,9784660090,9870964497,31632430274,42018890337,61090424896,63510180678,52907181306,31354693277,31846087893,40036171559,28318851859,15607744325,11335169280,14746724189,10982002955,11808862838,11727290548,5160133743,3663707630,8896873316,8278729499,8194996259,9057154980,8253719265,7567998784,9604285335,8053897660,8834603607,16146331429
polkadot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5712939725,3998481296,3874741304,5021807205,8790589451,15447495134,32724468747,36315780875,36161115651,23254070864,16512919235,17191651678,32535963685,29647004904,44886129169,40350744977,28732998503,20922623770,20606771091,23348056184,16077408003,11683748016,7768769566,9891619918,8041149796,7310803465,7737917245,6452545833,5124272924,7502144503,7652424036,7727847983,7260991515,6584630092,6452308276,6436555544,5420070720,5257098993,5753039002
avalanche-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106075718.2,89124828.89,91011244.24,234519739.6,1036012456,1842530858,3667524624,4207796400,2353206154,2065555979,2344357341,6930747543,14651539303,14156201089,27230588284,26870290076,17153285602,20678374643,25580015321,15281707942,7208555807,4704499344,6769063616,5622851606,5096140745,5775047508,4085966652,3391585733,6242904986,5543410199,5774920284,5652314786,4860250902,4493191261,4441640925,3529270819,3274706042,4014683766
staked-ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12333635.44,140184744.4,257558423,371312517.9,690706798.3,1213071708,1256728376,1750642899,3939610033,3949031854,6095952587,6968542633,5985253189,4819093900,5853266537,9725620014,10238246818,8041422929,4211619845,7010984455,6466310230,5827879365,7285300040,6116877419,5707855127,7932232309,9092602387,10743770851,11698972199,13021076321,14468983366,14758278423,14028219078,14673174825,15984316106
