Dates;bitcoin;litecoin;ripple;dogecoin;monero;stellar;tether;ethereum;ethereum-classic;bitcoin-cash;binancecoin;cardano;tron;chainlink;maker;usd-coin;matic-network;solana;polkadot;avalanche-2;staked-ether
2015-09-10;48531118.883055605;41716260.07949535;233643.638106336;51210.62077134585;18293.766193836593;8524.811170503997;104607;639527.9174929534;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-11;44294574.3495357;33802094.492452726;77327.99999999999;47383.12046470098;24755.912388150988;3997.3627335354995;34814;1901710.694902119;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-12;40541222.49556373;31433677.582651254;24848.999999999993;42558.99534376841;21703.81046018267;968.0064146759543;4216;800623.2998453851;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-13;46253457.40687432;33815921.02954849;63632.0;37897.83685309351;18251.09452046546;1567.0832924158067;790;658895.1959938455;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-14;52117340.606796384;29625649.84926372;270150.0;46559.42314668416;60137.63913472431;3528.3264479349677;214;739213.7259180878;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-15;58562863.20358095;20743727.403394718;680532.0;40866.098149977726;39648.191876715224;3677.6251641968634;46377;725816.471124354;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-16;51089489.85407352;21456905.44746697;317219.0;55833.74987233522;43071.87156952646;7448.307720709547;100573;629370.0849072988;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-17;54594105.82680428;40700591.651736245;541162.9999999999;57839.917976171826;61637.853408557705;4321.489465026385;14465;910704.9512256783;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-18;79606359.72514415;63828589.663011506;501033.99999999994;39651.101287237354;12515.856204010277;22594.17977120689;24572;478606.3969218407;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-19;39022087.91012471;40467503.26554881;441676.00000000006;31248.791571429254;12861.832462745106;5332.556317986774;917;387803.6167124918;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-20;36477159.2595533;35026408.80553166;444689.9999999999;38708.4913290421;22970.17599817989;3033.82494407621;101;514836.10862474947;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-21;36795275.81748264;42193347.39476892;245304.99999999997;100024.22304782814;11178.186441875967;1941.3145709301523;-1;429253.50431215833;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-22;71785978.8373853;54046806.20946499;284055.00000000006;98836.75842585221;19529.925089818884;2766.8819178147387;9471;485738.9553869821;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-23;53526673.23620633;42026630.258360654;973293.0000000001;129628.0591770639;27258.11382543825;2439.5225858540293;19997;204065.40590088838;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
